,trend,pvalue
ACCESS-CM2,0.007580370743235139,0.05068468016378751
ACCESS-ESM1-5,-0.007346419123334579,0.13534950364941586
BCC-CSM2-MR,0.0032961657464836962,0.5199989920429545
CESM2,-0.002282058464495636,0.7131008263122838
CNRM-CM6-1,-0.004546769852538724,0.29054161813169416
CanESM5,0.006422185325563359,0.08161978091226135
E3SM-2-0,-0.004362699446265063,0.4655303916522915
GFDL-CM4,-4.321638206173622e-05,0.9926657472526128
GFDL-ESM4,-0.004340462619975546,0.36263707364841735
GISS-E2-1-G,0.0033694013526727466,0.4217748191249657
HadGEM3-GC31-LL,-0.0017423055894545414,0.7099909193916437
IPSL-CM6A-LR,0.0005885647165695069,0.9005214134134677
MIROC6,-0.0020167160840229474,0.7044797727543517
MRI-ESM2-0,-0.0006069658366588632,0.9145869292886655
NorESM2-LM,-0.005718678744589839,0.3176245665134954
