,corr,pvalue
ACCESS-CM2,0.1774827510242298,0.24908533365405253
ACCESS-ESM1-5,0.01922759699058311,0.9014094205425464
BCC-CSM2-MR,0.05240169956913057,0.7354994845266158
CESM2,0.4968811807905189,0.0006015016524013276
CNRM-CM6-1,0.3373785635955416,0.0251165360975599
CanESM5,0.0350914445984603,0.8210934670074096
E3SM-2-0,0.316143503282346,0.03656018259907089
GFDL-CM4,0.32681554893667913,0.030365685403462087
GFDL-ESM4,0.46244059167324464,0.0015752763477321393
GISS-E2-1-G,0.5950142794937403,2.0463992649709823e-05
HadGEM3-GC31-LL,0.40855529223132553,0.005899414441508559
IPSL-CM6A-LR,0.07269503355144621,0.639109859294007
MIROC6,0.4940706657724054,0.0006531526030471122
MRI-ESM2-0,0.35600862061278926,0.01770167034652033
NorESM2-LM,0.13254861008446847,0.3910525859339283
